Constant,Locus,6.25,12.5,25,50,100,150,250,500
HET1-3-D,D8,N/A,N/A,0.5,0.4,0.34,0.14,0.14,0.14
HET1-3-D,D21,N/A,N/A,0.5,0.44,0.33,0.23,0.23,0.23
HET1-3-D,D7,N/A,N/A,0.44,0.35,0.23,0.07,0.07,0.07
HET1-3-D,CSF,N/A,N/A,0.47,0.34,0.34,0.34,0.34,0.19
HET1-3-D,D3,N/A,N/A,0.5,0.3,0.13,0.08,0.08,0.05
HET1-3-D,TH01,N/A,N/A,0.5,0.3,0.3,0.2,0.15,0.14
HET1-3-D,D13,N/A,N/A,0.5,0.29,0.29,0.15,0.15,0.07
HET1-3-D,D16,N/A,N/A,0.39,0.39,0.22,0.25,0.18,0.12
HET1-3-D,D2,N/A,N/A,0.44,0.44,0.38,0.1,0.1,0.1
HET1-3-D,D19,N/A,N/A,0.35,0.3,0.25,0.19,0.18,0.18
HET1-3-D,vWA,N/A,N/A,0.45,0.41,0.3,0.11,0.11,0.08
HET1-3-D,TPOX,N/A,N/A,0.5,0.32,0.23,0.18,0.11,0.11
HET1-3-D,D18,N/A,N/A,0.37,0.33,0.3,0.2,0.2,0.14
HET1-3-D,D5,N/A,N/A,0.47,0.41,0.26,0.21,0.21,0.21
HET1-3-D,FGA,N/A,N/A,0.37,0.37,0.28,0.35,0.31,0.3
HET2-3-D,D8,N/A,N/A,0.07,0.04,0.02,0.02,0.02,0.02
HET2-3-D,D21,N/A,N/A,0.12,0.07,0.04,0.02,0.02,0.02
HET2-3-D,D7,N/A,N/A,0.18,0.08,0.02,0.02,0.02,0.02
HET2-3-D,CSF,N/A,N/A,0.13,0.02,0.02,0.02,0.02,0.02
HET2-3-D,D3,N/A,N/A,0.12,0.08,0.02,0.02,0.02,0.02
HET2-3-D,TH01,N/A,N/A,0.13,0.06,0.02,0.02,0.02,0.02
HET2-3-D,D13,N/A,N/A,0.19,0.05,0.02,0.02,0.02,0.02
HET2-3-D,D16,N/A,N/A,0.08,0.03,0.02,0.02,0.02,0.02
HET2-3-D,D2,N/A,N/A,0.27,0.1,0.07,0.02,0.02,0.02
HET2-3-D,D19,N/A,N/A,0.18,0.09,0.02,0.05,0.02,0.02
HET2-3-D,vWA,N/A,N/A,0.28,0.12,0.02,0.07,0.02,0.02
HET2-3-D,TPOX,N/A,N/A,0.1,0.02,0.02,0.02,0.02,0.02
HET2-3-D,D18,N/A,N/A,0.24,0.04,0.02,0.02,0.02,0.02
HET2-3-D,D5,N/A,N/A,0.04,0.03,0.02,0.02,0.02,0.02
HET2-3-D,FGA,N/A,N/A,0.35,0.13,0.08,0.02,0.02,0.02
HOM1-3-D,D8,N/A,N/A,0.16,0.03,0.02,0.02,0.02,0.02
HOM1-3-D,D21,N/A,N/A,0.28,0.1,0.04,0.02,0.02,0.02
HOM1-3-D,D7,N/A,N/A,0.5,0.12,0.02,0.02,0.02,0.02
HOM1-3-D,CSF,N/A,N/A,0.28,0.1,0.05,0.02,0.02,0.02
HOM1-3-D,D3,N/A,N/A,0.29,0.12,0.02,0.02,0.02,0.02
HOM1-3-D,TH01,N/A,N/A,0.43,0.19,0.02,0.02,0.02,0.02
HOM1-3-D,D13,N/A,N/A,0.02,0.02,0.02,0.02,0.02,0.02
